CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST00037,Ishaan,45,Male,Quarterly,21-03-2023,04-11-2024,214,6,1
CUST00038,Pooja,64,Female,Quarterly,08-01-2022,28-07-2024,5,8,0
CUST00039,Aanya,36,Other,Yearly,22-06-2023,29-07-2023,168,1,1
CUST00040,Riya,26,Male,Quarterly,26-06-2022,28-01-2024,6,10,0
CUST00041,Ira,28,Female,Monthly,03-05-2022,02-06-2023,158,6,1
CUST00042,Riya,62,Male,Monthly,21-02-2023,23-02-2024,84,8,0
CUST00043,Vivaan,28,Male,Yearly,15-11-2024,27-12-2024,207,10,1
CUST00044,Aditya,18,Male,Monthly,10-08-2022,21-06-2023,163,5,1
CUST00045,Aditya,65,Male,Quarterly,27-06-2024,17-10-2024,231,1,0
CUST00046,Ananya,33,Male,Yearly,29-02-2024,03-10-2024,211,3,1
CUST00047,Neha,56,Male,Quarterly,24-12-2023,16-12-2024,265,8,0
CUST00048,Sai,54,Female,Yearly,03-10-2024,25-10-2024,76,7,0
CUST00049,Ananya,37,Female,Monthly,22-02-2024,01-04-2024,225,4,1
CUST00050,Neha,60,Other,Quarterly,09-02-2024,07-08-2024,3,3,1
CUST00051,Diya,65,Other,Monthly,16-10-2024,18-12-2024,166,4,0
CUST00052,Pooja,30,Female,Monthly,23-10-2024,01-01-2025,148,1,0
CUST00053,Vihaan,26,Male,Yearly,17-02-2024,23-11-2024,8,10,0
CUST00054,Vihaan,58,Female,Quarterly,06-09-2022,14-05-2024,57,10,1
CUST00055,Priya,63,Male,Yearly,08-09-2024,13-12-2024,11,6,1
CUST00056,Neha,33,Female,Yearly,13-02-2023,27-08-2024,144,8,1
CUST00057,Vivaan,34,Male,Yearly,27-10-2024,10-11-2024,140,3,1
CUST00058,Kavya,57,Female,Yearly,12-06-2023,08-09-2023,152,2,0
CUST00059,Aanya,30,Female,Monthly,27-05-2023,07-11-2023,204,9,0
CUST00060,Aarav,38,Other,Quarterly,28-01-2023,25-02-2023,117,5,0
CUST00061,Vivaan,56,Other,Quarterly,05-09-2023,04-10-2023,32,2,0
CUST00062,Vivaan,32,Other,Yearly,30-07-2024,20-11-2024,241,10,0
CUST00063,Pooja,45,Female,Quarterly,19-05-2023,16-11-2024,280,9,1
CUST00064,Aarav,37,Female,Monthly,24-11-2022,19-09-2023,84,9,0
CUST00065,Vivaan,61,Female,Monthly,26-02-2022,02-11-2024,242,2,1
CUST00066,Reyansh,21,Male,Monthly,11-06-2023,22-01-2024,59,6,0
CUST00067,Ananya,22,Female,Monthly,12-12-2024,27-12-2024,157,2,0
CUST00068,Ira,18,Male,Quarterly,02-05-2024,03-11-2024,8,4,1
CUST00069,Rohan,64,Other,Yearly,14-12-2022,23-05-2023,170,10,0
CUST00070,Priya,62,Other,Yearly,10-05-2023,03-10-2023,272,4,1
CUST00071,Ananya,63,Other,Yearly,17-06-2023,02-10-2023,256,2,1
CUST00072,Sai,57,Other,Yearly,26-10-2024,01-11-2024,53,10,0
CUST00073,Reyansh,46,Other,Quarterly,26-04-2023,09-02-2024,84,5,0
CUST00074,Rohan,32,Other,Monthly,10-02-2022,27-04-2023,197,10,0
CUST00075,Riya,49,Other,Quarterly,22-01-2022,01-03-2023,148,3,1
CUST00076,Riya,33,Other,Quarterly,18-09-2023,26-10-2023,268,4,0
CUST00077,Aanya,38,Female,Quarterly,08-06-2022,26-01-2024,127,7,1
CUST00078,Aanya,60,Female,Quarterly,26-05-2024,26-08-2024,267,8,1
CUST00079,Kavya,28,Male,Quarterly,07-02-2024,11-07-2024,199,8,0
CUST00080,Aanya,23,Male,Monthly,24-08-2024,27-12-2024,148,5,0
CUST00081,Aanya,57,Female,Monthly,07-05-2023,04-03-2024,121,8,0
CUST00082,Reyansh,50,Other,Quarterly,08-07-2022,19-12-2024,146,10,0
CUST00083,Diya,64,Female,Yearly,05-12-2024,10-12-2024,100,3,0
CUST00084,Aanya,49,Male,Quarterly,31-03-2023,17-06-2023,283,2,1
CUST00085,Rohan,58,Male,Quarterly,03-04-2024,05-12-2024,178,4,1
CUST00086,Krishna,56,Female,Quarterly,12-08-2024,08-11-2024,45,8,1
CUST00087,Ananya,37,Other,Quarterly,14-08-2024,16-08-2024,224,7,1
CUST00088,Ananya,25,Male,Quarterly,16-06-2023,22-12-2023,61,5,1
CUST00089,Pooja,62,Male,Yearly,04-11-2022,11-06-2023,86,9,1
CUST00090,Ira,25,Female,Quarterly,29-11-2023,04-06-2024,69,3,1
CUST00091,Sai,25,Male,Yearly,20-11-2024,24-12-2024,239,5,1
CUST00092,Sai,40,Male,Quarterly,07-09-2022,09-06-2023,7,6,0
CUST00093,Ananya,42,Male,Yearly,05-08-2023,16-09-2023,264,1,1
CUST00094,Sneha,48,Male,Quarterly,09-04-2023,02-11-2023,60,9,0
CUST00095,Ira,31,Female,Quarterly,09-04-2024,08-05-2024,288,8,0
CUST00096,Pooja,36,Female,Monthly,04-07-2022,29-07-2022,220,6,1
CUST00097,Ira,21,Female,Monthly,07-06-2022,24-07-2022,53,8,1
CUST00098,Ira,44,Female,Quarterly,12-06-2022,16-03-2023,186,1,0
CUST00099,Riya,18,Female,Quarterly,22-05-2024,15-11-2024,137,10,1
CUST00100,Arjun,59,Male,Yearly,12-08-2023,18-09-2023,128,6,1
CUST00101,Krishna,34,Other,Yearly,01-04-2022,28-07-2024,237,7,0
CUST00102,Ananya,63,Female,Quarterly,18-09-2024,08-10-2024,275,9,1
CUST00103,Sneha,37,Other,Yearly,05-10-2024,26-11-2024,64,9,0
CUST00104,Vihaan,49,Other,Yearly,29-03-2023,21-06-2024,222,5,1
CUST00105,Aditya,61,Female,Monthly,08-12-2022,12-03-2024,123,3,0
CUST00106,Riya,45,Female,Quarterly,02-12-2023,01-01-2025,197,6,1
CUST00107,Arjun,46,Male,Yearly,30-08-2023,26-01-2024,187,10,0
CUST00108,Krishna,35,Male,Quarterly,09-03-2022,20-08-2024,277,2,1
CUST00109,Vivaan,36,Male,Yearly,02-09-2023,29-06-2024,108,5,0
CUST00110,Sneha,39,Other,Quarterly,18-01-2023,24-05-2023,33,3,0
CUST00111,Vihaan,21,Male,Monthly,18-04-2022,28-07-2022,63,7,1
CUST00112,Ishaan,47,Male,Yearly,05-04-2022,01-10-2023,231,1,0
CUST00113,Krishna,46,Other,Yearly,10-09-2023,02-08-2024,82,9,1
CUST00114,Aditya,22,Male,Yearly,19-05-2022,17-12-2023,159,10,0
CUST00115,Krishna,23,Other,Quarterly,19-07-2024,28-12-2024,154,7,0
CUST00116,Kavya,27,Male,Quarterly,06-06-2024,12-07-2024,28,4,1
CUST00117,Vivaan,39,Female,Yearly,22-10-2022,22-01-2024,234,10,1
CUST00118,Aarav,35,Female,Yearly,12-07-2022,03-12-2022,21,8,1
CUST00119,Vivaan,21,Female,Quarterly,03-09-2022,27-07-2024,295,9,1
CUST00120,Krishna,56,Male,Yearly,07-10-2024,25-10-2024,44,2,0
CUST00121,Vihaan,22,Female,Monthly,09-06-2023,07-11-2023,140,5,1
CUST00122,Reyansh,55,Female,Quarterly,25-08-2022,09-08-2023,12,8,0
CUST00123,Arjun,35,Other,Yearly,04-01-2023,12-01-2024,204,3,0
CUST00124,Aditya,47,Other,Monthly,13-08-2024,01-11-2024,297,8,0
CUST00125,Reyansh,61,Other,Yearly,23-03-2024,31-03-2024,122,3,1
CUST00126,Aarav,25,Female,Quarterly,20-04-2023,28-07-2024,263,10,1
CUST00127,Pooja,46,Other,Yearly,16-03-2022,11-08-2022,107,7,1
CUST00128,Sneha,27,Female,Yearly,31-07-2023,13-07-2024,279,8,0
CUST00129,Sneha,53,Male,Monthly,23-09-2024,11-11-2024,231,8,1
CUST00130,Vivaan,57,Female,Yearly,22-10-2022,06-05-2024,193,2,1
CUST00131,Arjun,47,Female,Yearly,02-08-2022,28-06-2023,51,10,1
CUST00132,Aarav,21,Male,Yearly,08-10-2024,19-11-2024,94,6,0
CUST00133,Riya,21,Other,Quarterly,20-08-2024,04-09-2024,125,7,1
CUST00134,Rohan,46,Other,Monthly,01-12-2024,16-12-2024,227,1,1
CUST00135,Ira,25,Other,Quarterly,06-01-2022,22-05-2022,55,2,1
CUST00136,Diya,59,Female,Monthly,28-03-2023,19-03-2024,10,3,1
CUST00137,Kavya,29,Male,Quarterly,01-01-2024,24-10-2024,120,5,0
CUST00138,Sneha,50,Other,Monthly,14-09-2023,21-11-2024,41,5,0
CUST00139,Sneha,25,Female,Monthly,19-03-2023,03-01-2024,38,6,0
CUST00140,Neha,61,Other,Yearly,14-02-2023,01-10-2023,217,7,0
CUST00141,Neha,32,Male,Monthly,15-09-2022,23-04-2024,230,1,1
CUST00142,Aarav,37,Female,Quarterly,20-06-2022,08-12-2022,11,4,1
CUST00143,Priya,51,Other,Quarterly,08-01-2023,04-02-2023,50,10,0
CUST00144,Aanya,59,Other,Quarterly,02-06-2023,25-02-2024,35,4,1
CUST00145,Diya,54,Female,Monthly,24-02-2023,26-02-2024,186,5,1
CUST00146,Ananya,18,Other,Monthly,08-04-2022,23-11-2022,83,4,0
CUST00147,Sai,38,Male,Quarterly,14-05-2024,28-07-2024,13,4,1
CUST00148,Pooja,33,Male,Yearly,26-12-2023,23-10-2024,93,10,1
CUST00149,Ira,59,Male,Monthly,07-03-2023,28-02-2024,213,8,0
CUST00150,Reyansh,26,Male,Yearly,14-12-2022,01-02-2024,212,7,0
CUST00151,Sai,63,Male,Quarterly,05-02-2024,25-03-2024,131,6,1
CUST00152,Ananya,26,Other,Yearly,19-07-2024,30-07-2024,46,3,0
CUST00153,Aditya,56,Female,Quarterly,17-02-2022,09-12-2022,189,5,1
CUST00154,Vihaan,31,Male,Quarterly,27-04-2024,19-05-2024,112,5,0
CUST00155,Neha,52,Female,Yearly,25-04-2023,30-09-2024,176,5,1
CUST00156,Arjun,25,Other,Yearly,23-05-2022,19-07-2022,72,7,0
CUST00157,Ananya,37,Female,Quarterly,13-01-2022,29-07-2022,134,6,1
CUST00158,Vihaan,20,Male,Yearly,11-03-2022,10-09-2024,77,1,0
CUST00159,Krishna,46,Other,Yearly,12-02-2023,24-11-2024,297,5,1
CUST00160,Neha,34,Male,Yearly,18-03-2022,01-08-2023,251,1,1
CUST00161,Aditya,29,Other,Monthly,18-07-2023,28-08-2023,246,9,0
CUST00162,Krishna,62,Male,Quarterly,27-03-2023,13-08-2024,280,4,0
CUST00163,Reyansh,53,Other,Monthly,07-05-2022,20-05-2023,31,1,0
CUST00164,Aarav,63,Male,Monthly,25-01-2024,02-03-2024,292,5,0
CUST00165,Krishna,60,Female,Monthly,15-09-2024,07-12-2024,227,8,1
CUST00166,Sai,30,Male,Quarterly,27-06-2022,03-04-2024,73,6,1
CUST00167,Pooja,19,Other,Monthly,27-07-2024,19-08-2024,195,3,0
CUST00168,Arjun,44,Female,Yearly,22-07-2022,08-06-2023,237,3,0
CUST00169,Arjun,33,Other,Quarterly,24-08-2023,13-02-2024,71,4,1
CUST00170,Ishaan,65,Other,Yearly,18-06-2023,06-08-2024,281,2,1
CUST00171,Diya,58,Male,Monthly,09-10-2022,04-06-2023,87,5,0
CUST00172,Krishna,20,Other,Quarterly,09-01-2023,19-01-2023,55,9,1
CUST00173,Vivaan,19,Female,Yearly,07-01-2023,02-05-2023,101,1,0
CUST00174,Arjun,20,Other,Yearly,23-02-2024,02-12-2024,258,9,0
CUST00175,Diya,49,Male,Yearly,29-10-2024,08-11-2024,57,1,1
CUST00176,Neha,30,Male,Monthly,11-01-2023,21-03-2024,284,9,1
CUST00177,Aditya,49,Female,Quarterly,21-08-2024,08-10-2024,105,2,1
CUST00178,Sneha,55,Female,Quarterly,24-12-2022,07-08-2024,293,6,0
CUST00179,Krishna,23,Other,Monthly,07-04-2023,12-06-2023,125,10,0
CUST00180,Vivaan,21,Female,Yearly,17-09-2022,09-12-2022,51,2,1
CUST00181,Sneha,39,Female,Monthly,04-11-2024,18-12-2024,239,1,1
CUST00182,Priya,40,Other,Quarterly,04-11-2023,09-04-2024,116,6,1
CUST00183,Arjun,36,Male,Quarterly,10-07-2023,01-10-2023,52,7,1
CUST00184,Reyansh,22,Other,Monthly,15-10-2022,01-10-2024,59,3,0
CUST00185,Vihaan,35,Other,Monthly,21-02-2022,01-04-2023,151,2,1
CUST00186,Ira,54,Other,Monthly,17-10-2024,16-12-2024,292,8,0
CUST00187,Riya,49,Other,Yearly,25-08-2023,08-09-2023,247,5,0
CUST00188,Priya,38,Other,Quarterly,09-04-2024,04-12-2024,249,5,0
CUST00189,Vivaan,44,Female,Quarterly,23-03-2023,07-07-2024,172,8,1
CUST00190,Ishaan,56,Female,Yearly,12-11-2024,25-11-2024,95,7,0
CUST00191,Neha,43,Male,Monthly,12-03-2024,22-03-2024,217,4,1
CUST00192,Diya,20,Male,Quarterly,17-04-2024,19-09-2024,147,4,1
CUST00193,Ananya,48,Male,Quarterly,11-01-2023,19-11-2024,71,4,1
CUST00194,Aarav,61,Other,Monthly,17-04-2023,25-07-2023,269,9,1
CUST00195,Rohan,65,Other,Monthly,27-04-2023,17-05-2023,284,7,1
CUST00196,Ira,33,Other,Yearly,13-07-2024,10-10-2024,219,10,1
CUST00197,Priya,44,Other,Yearly,06-07-2022,09-10-2023,198,3,0
CUST00198,Vivaan,31,Female,Monthly,20-05-2022,14-12-2023,50,8,0
CUST00199,Sneha,36,Female,Monthly,23-12-2024,31-12-2024,283,9,0
CUST00200,Krishna,48,Male,Yearly,08-03-2024,07-08-2024,282,1,0
CUST00201,Aanya,20,Other,Yearly,05-01-2024,09-10-2024,205,7,1
CUST00202,Ira,62,Other,Quarterly,23-05-2022,28-09-2023,272,2,0
CUST00203,Kavya,47,Female,Quarterly,16-11-2023,11-04-2024,276,5,0
CUST00204,Arjun,25,Other,Quarterly,28-12-2024,29-12-2024,220,3,1
CUST00205,Rohan,19,Female,Yearly,17-10-2023,20-10-2023,278,9,1
CUST00206,Ira,35,Male,Quarterly,22-09-2024,19-12-2024,252,3,0
CUST00207,Sneha,59,Other,Monthly,28-11-2024,09-12-2024,111,10,1
CUST00208,Riya,18,Other,Yearly,05-10-2023,07-02-2024,32,2,1
CUST00209,Aarav,60,Female,Monthly,31-12-2024,31-12-2024,236,5,1
CUST00210,Ishaan,39,Other,Yearly,16-11-2022,11-08-2023,191,5,0
CUST00211,Sai,56,Male,Quarterly,14-07-2022,07-06-2023,170,8,0
CUST00212,Arjun,21,Female,Yearly,19-01-2023,07-06-2024,189,8,1
CUST00213,Vihaan,19,Female,Yearly,27-12-2022,12-12-2023,270,1,0
CUST00214,Sai,31,Other,Quarterly,17-04-2022,11-07-2023,65,9,0
CUST00215,Priya,36,Male,Yearly,10-06-2022,30-10-2022,110,9,0
CUST00216,Pooja,53,Other,Quarterly,15-04-2023,06-07-2024,262,7,0
CUST00217,Pooja,50,Other,Monthly,09-12-2023,29-08-2024,74,9,1
CUST00218,Arjun,53,Other,Monthly,16-06-2024,03-09-2024,267,5,0
CUST00219,Vivaan,43,Male,Monthly,23-11-2023,30-08-2024,224,9,0
CUST00220,Aditya,24,Other,Quarterly,10-05-2023,16-09-2024,46,9,1
CUST00221,Ishaan,41,Female,Yearly,09-08-2022,16-11-2023,265,2,1
CUST00222,Pooja,64,Other,Quarterly,17-12-2022,31-05-2023,204,3,0
CUST00223,Kavya,65,Male,Yearly,06-07-2023,15-02-2024,59,3,0
CUST00224,Diya,19,Male,Quarterly,03-05-2022,04-12-2023,118,3,1
CUST00225,Krishna,50,Male,Yearly,18-08-2022,30-05-2023,247,4,1
CUST00226,Sai,50,Male,Quarterly,02-11-2024,07-11-2024,295,5,1
CUST00227,Vihaan,21,Female,Quarterly,25-05-2024,08-11-2024,148,2,0
CUST00228,Vihaan,64,Other,Quarterly,09-02-2024,18-05-2024,146,1,0
CUST00229,Rohan,41,Other,Yearly,17-04-2022,03-11-2022,184,10,1
CUST00230,Riya,62,Male,Yearly,19-06-2023,18-06-2024,104,2,0
CUST00231,Ishaan,35,Male,Yearly,17-06-2022,13-12-2024,68,4,1
CUST00232,Ira,35,Female,Yearly,26-11-2024,09-12-2024,179,6,1
CUST00233,Rohan,62,Male,Yearly,19-11-2022,29-10-2023,54,6,1
CUST00234,Neha,52,Other,Quarterly,10-02-2023,06-04-2023,240,2,0
CUST00235,Arjun,27,Female,Yearly,17-10-2022,10-05-2024,47,10,1
CUST00236,Diya,49,Male,Yearly,21-06-2024,25-12-2024,139,8,0
CUST00237,Kavya,59,Female,Quarterly,18-01-2024,21-04-2024,83,8,1
CUST00238,Vihaan,18,Female,Monthly,14-11-2022,26-11-2024,86,8,1
CUST00239,Ishaan,55,Other,Monthly,10-06-2024,26-09-2024,8,10,1
CUST00240,Kavya,20,Female,Yearly,27-03-2024,03-04-2024,217,1,1
CUST00241,Priya,62,Male,Quarterly,02-02-2024,17-09-2024,122,10,0
CUST00242,Ira,20,Female,Quarterly,24-10-2023,12-04-2024,148,8,1
CUST00243,Reyansh,25,Female,Monthly,21-05-2023,29-05-2024,165,4,1
CUST00244,Ananya,57,Male,Quarterly,07-06-2024,10-06-2024,47,6,0
CUST00245,Aditya,58,Other,Quarterly,11-08-2022,25-01-2024,45,9,1
CUST00246,Ira,61,Other,Yearly,20-12-2024,30-12-2024,179,6,1
CUST00247,Aditya,20,Other,Quarterly,21-03-2022,22-07-2022,178,1,0
CUST00248,Vivaan,19,Male,Quarterly,13-01-2023,09-05-2023,142,7,1
CUST00249,Diya,45,Other,Monthly,28-12-2023,13-07-2024,12,7,1
CUST00250,Krishna,37,Male,Quarterly,06-06-2022,13-08-2023,80,10,0
CUST00251,Reyansh,43,Male,Monthly,30-01-2022,28-07-2024,19,7,1
CUST00252,Kavya,60,Male,Monthly,03-01-2024,12-02-2024,186,6,1
CUST00253,Neha,53,Male,Yearly,19-04-2024,29-05-2024,153,10,0
CUST00254,Diya,40,Other,Monthly,30-07-2023,29-06-2024,6,10,0
CUST00255,Vivaan,55,Other,Yearly,08-01-2022,28-08-2024,19,9,1
CUST00256,Vihaan,20,Male,Yearly,25-06-2022,18-08-2022,116,10,0
CUST00257,Krishna,64,Male,Monthly,04-07-2024,07-08-2024,7,10,1
CUST00258,Ishaan,53,Female,Yearly,24-09-2022,14-10-2024,80,3,0
CUST00259,Ira,61,Male,Quarterly,15-04-2022,27-12-2023,146,4,0
CUST00260,Aarav,44,Other,Quarterly,26-08-2022,20-11-2022,99,7,1
CUST00261,Sai,42,Female,Monthly,19-02-2023,16-05-2023,66,3,0
CUST00262,Rohan,26,Female,Quarterly,15-06-2022,10-11-2024,98,7,1
CUST00263,Rohan,42,Other,Monthly,12-06-2024,19-10-2024,127,7,0
CUST00264,Pooja,44,Male,Monthly,18-07-2022,17-03-2023,39,7,1
CUST00265,Ishaan,22,Other,Yearly,10-09-2024,08-10-2024,128,5,1
CUST00266,Ananya,22,Male,Yearly,12-06-2023,19-03-2024,153,1,0
CUST00267,Vihaan,55,Other,Yearly,15-04-2023,10-01-2024,65,9,1
CUST00268,Sai,51,Female,Yearly,13-05-2023,18-11-2024,100,7,0
CUST00269,Ira,45,Male,Monthly,11-08-2023,27-08-2024,279,4,1
CUST00270,Aarav,40,Male,Yearly,28-11-2022,18-02-2024,24,2,0
CUST00271,Vivaan,54,Female,Yearly,09-04-2023,21-07-2024,164,3,0
CUST00272,Neha,48,Female,Quarterly,27-03-2024,28-04-2024,148,5,0
CUST00273,Ira,19,Female,Quarterly,25-05-2023,21-10-2024,176,1,1
CUST00274,Arjun,48,Male,Yearly,04-09-2024,17-12-2024,12,9,1
CUST00275,Pooja,39,Male,Quarterly,24-06-2023,26-10-2024,227,8,0
CUST00276,Ira,26,Other,Yearly,21-11-2022,23-12-2023,100,5,0
CUST00277,Krishna,26,Female,Quarterly,14-12-2024,14-12-2024,11,2,1
CUST00278,Aanya,41,Other,Monthly,27-09-2024,21-12-2024,209,2,0
CUST00279,Ira,64,Female,Yearly,04-02-2023,19-11-2023,108,6,0
CUST00280,Pooja,59,Other,Quarterly,14-09-2023,23-11-2024,89,8,1
CUST00281,Sai,48,Female,Yearly,24-05-2022,20-03-2023,21,1,0
CUST00282,Vivaan,52,Other,Quarterly,13-12-2022,09-02-2024,123,8,0
CUST00283,Kavya,46,Male,Quarterly,09-11-2023,23-07-2024,62,3,0
CUST00284,Vivaan,64,Female,Quarterly,18-10-2023,15-08-2024,89,8,0
CUST00285,Sai,23,Other,Monthly,16-12-2022,01-03-2023,76,1,1
CUST00286,Sneha,61,Male,Quarterly,26-01-2023,14-12-2024,78,2,1
CUST00287,Pooja,25,Female,Quarterly,12-06-2022,24-12-2023,186,2,0
CUST00288,Sneha,49,Female,Quarterly,22-10-2024,08-11-2024,96,1,1
CUST00289,Diya,60,Male,Yearly,31-10-2024,11-11-2024,262,5,0
CUST00290,Reyansh,49,Other,Monthly,22-01-2022,04-11-2024,249,10,0
CUST00291,Krishna,44,Male,Yearly,13-03-2022,15-07-2023,255,1,0
CUST00292,Aanya,62,Female,Quarterly,26-08-2024,25-11-2024,233,2,0
CUST00293,Aarav,53,Male,Yearly,15-04-2024,12-12-2024,237,10,0
CUST00294,Rohan,43,Other,Quarterly,10-02-2024,28-06-2024,121,1,0
CUST00295,Riya,41,Male,Monthly,12-05-2023,18-01-2024,171,1,1
CUST00296,Vivaan,36,Other,Monthly,01-05-2024,01-05-2024,263,4,0
CUST00297,Krishna,41,Female,Monthly,22-06-2023,23-12-2023,188,10,1
CUST00298,Reyansh,24,Other,Yearly,25-12-2022,15-07-2023,123,7,0
CUST00299,Rohan,62,Other,Yearly,17-07-2024,03-11-2024,191,7,0
CUST00300,Ananya,57,Female,Quarterly,16-12-2024,01-01-2025,285,1,0
CUST00301,Krishna,23,Male,Yearly,12-07-2023,29-10-2023,185,1,1
CUST00302,Ishaan,28,Female,Yearly,17-06-2024,23-08-2024,248,8,1
CUST00303,Sai,20,Other,Quarterly,26-08-2024,12-11-2024,179,8,0
CUST00304,Reyansh,49,Other,Yearly,23-08-2023,18-01-2024,127,10,0
CUST00305,Rohan,38,Other,Quarterly,29-08-2023,19-12-2023,206,6,1
CUST00306,Rohan,52,Female,Yearly,28-06-2022,23-04-2023,205,4,0
CUST00307,Ira,54,Female,Quarterly,18-02-2024,10-04-2024,175,6,0
CUST00308,Priya,57,Male,Monthly,07-07-2022,01-07-2023,111,8,1
CUST00309,Ira,27,Other,Quarterly,28-05-2024,21-06-2024,222,10,0
CUST00310,Diya,59,Female,Yearly,27-06-2022,09-04-2023,285,9,0
CUST00311,Vivaan,53,Male,Monthly,04-08-2022,26-11-2022,253,5,1
CUST00312,Aditya,18,Female,Monthly,05-04-2022,06-03-2023,78,7,1
CUST00313,Ishaan,49,Female,Quarterly,30-08-2024,04-09-2024,99,9,0
CUST00314,Reyansh,43,Other,Yearly,22-01-2024,07-09-2024,130,1,0
CUST00315,Vihaan,62,Other,Quarterly,29-09-2022,03-04-2024,175,10,0
CUST00316,Vihaan,39,Other,Monthly,16-12-2022,30-12-2024,262,8,1
CUST00317,Riya,63,Female,Monthly,05-10-2023,01-07-2024,116,3,1
CUST00318,Kavya,39,Female,Monthly,23-05-2024,12-10-2024,201,8,1
CUST00319,Sai,49,Male,Yearly,23-04-2023,03-10-2023,237,7,0
CUST00320,Aanya,55,Other,Quarterly,30-11-2024,29-12-2024,167,1,1
CUST00321,Ishaan,37,Male,Yearly,01-01-2022,30-04-2023,195,10,1
CUST00322,Reyansh,43,Female,Yearly,23-07-2024,04-10-2024,15,5,0
CUST00323,Vivaan,58,Male,Quarterly,05-07-2023,09-12-2024,128,3,1
CUST00324,Sneha,44,Male,Monthly,25-02-2022,22-12-2022,1,7,1
CUST00325,Ira,20,Other,Yearly,12-07-2024,31-07-2024,247,6,1
CUST00326,Riya,60,Female,Quarterly,28-02-2023,07-06-2024,279,6,0
CUST00327,Pooja,58,Female,Yearly,09-10-2023,31-05-2024,174,7,0
CUST00328,Sneha,57,Other,Quarterly,23-11-2022,26-02-2023,127,4,0
CUST00329,Ishaan,46,Male,Quarterly,18-08-2023,10-08-2024,174,4,1
CUST00330,Arjun,18,Female,Yearly,30-08-2022,17-01-2024,285,5,1
CUST00331,Neha,27,Female,Yearly,23-11-2023,27-05-2024,25,9,1
CUST00332,Reyansh,43,Other,Monthly,17-10-2024,22-10-2024,19,9,0
CUST00333,Reyansh,22,Male,Quarterly,02-03-2023,22-06-2024,158,5,1
CUST00334,Ira,48,Male,Yearly,28-08-2023,20-08-2024,71,2,0
CUST00335,Sneha,62,Female,Yearly,19-12-2023,16-05-2024,180,10,1
CUST00336,Priya,62,Male,Yearly,09-03-2024,12-07-2024,132,3,1
